##ANIMATION##;;;;;;;;;;
x;x_type;y;y_type;width;width_type;height;height_type;rotation;alpha;image
0;"%";0;"px";0;"%";0;"%";0;0;""
0;"%";0;"px";0;"%";0;"%";0;0;""
0;"%";0;"px";0;"%";0;"%";0;0;""
0;"px";-9.6;"px";0;"%";0;"%";0;0;""
0;"px";-18.4;"px";0;"%";0;"%";0;0;""
0;"px";-26.4;"px";0;"%";0;"%";0;0;""
0;"px";-33.6;"px";0;"%";0;"%";0;0;""
0;"px";-40;"px";0;"%";0;"%";0;0;""
0;"px";-45.6;"px";0;"%";0;"%";0;0;""
0;"px";-50.4;"px";0;"%";0;"%";0;0;""
0;"px";-54.4;"px";0;"%";0;"%";0;0;""
0;"px";-57.6;"px";0;"%";0;"%";0;0;""
0;"px";-60;"px";0;"%";0;"%";0;0;""
0;"%";-61.6;"px";0;"%";0;"%";0;0;""
0;"%";-62.4;"px";0;"%";0;"%";0;0;""
0;"%";-62.4;"px";0;"%";0;"%";0;0;""
0;"%";-61.6;"px";0;"%";0;"%";0;0;""
0;"%";-60;"px";0;"%";0;"%";0;0;""
0;"%";-57.6;"px";0;"%";0;"%";0;0;""
0;"%";-54.4;"px";0;"%";0;"%";0;0;""
0;"%";-50.4;"px";0;"%";0;"%";0;0;""
0;"%";-45.6;"px";0;"%";0;"%";0;0;""
0;"%";-40;"px";0;"%";0;"%";0;0;""
0;"%";-33.6;"px";0;"%";0;"%";0;0;""
0;"%";-26.4;"px";0;"%";0;"%";0;0;""
0;"%";-18.4;"px";0;"%";0;"%";0;0;""
0;"%";-9.6;"px";0;"%";0;"%";0;0;""
0;"%";-3.84;"px";0;"%";0;"%";0;0;""
0;"%";-7.36;"px";0;"%";0;"%";0;0;""
0;"%";-10.56;"px";0;"%";0;"%";0;0;""
0;"%";-13.44;"px";0;"%";0;"%";0;0;""
0;"%";-16;"px";0;"%";0;"%";0;0;""
0;"%";-18.24;"px";0;"%";0;"%";0;0;""
0;"%";-20.16;"px";0;"%";0;"%";0;0;""
0;"%";-21.76;"px";0;"%";0;"%";0;0;""
0;"%";-23.04;"px";0;"%";0;"%";0;0;""
0;"%";-24;"px";0;"%";0;"%";0;0;""
0;"%";-24.64;"px";0;"%";0;"%";0;0;""
0;"%";-24.96;"px";0;"%";0;"%";0;0;""
0;"%";-24.96;"px";0;"%";0;"%";0;0;""
0;"%";-24.64;"px";0;"%";0;"%";0;0;""
0;"%";-24;"px";0;"%";0;"%";0;0;""
0;"%";-23.04;"px";0;"%";0;"%";0;0;""
0;"%";-21.76;"px";0;"%";0;"%";0;0;""
0;"%";-20.16;"px";0;"%";0;"%";0;0;""
0;"%";-18.24;"px";0;"%";0;"%";0;0;""
0;"%";-16;"px";0;"%";0;"%";0;0;""
0;"%";-13.44;"px";0;"%";0;"%";0;0;""
0;"%";-10.56;"px";0;"%";0;"%";0;0;""
0;"%";-7.36;"px";0;"%";0;"%";0;0;""
0;"%";-3.84;"px";0;"%";0;"%";0;0;""
0;"%";0;"px";0;"%";0;"%";0;0;""
0;"%";0;"px";0;"%";0;"%";0;0;""
0;"%";0;"px";0;"%";0;"%";0;0;""
