##ANIMATION##;;;;;;;;;;
x;x_type;y;y_type;width;width_type;height;height_type;rotation;alpha;image
-41.5;"px";-500;"px";0;"%";0;"%";0;0;""
-41;"px";-498.0457779286;"px";0;"%";0;"%";0;0;""
-40.5;"px";-492.1831117143;"px";0;"%";0;"%";0;0;""
-40;"px";-482.4120013571;"px";0;"%";0;"%";0;0;""
-39.5;"px";-468.7324468571;"px";0;"%";0;"%";0;0;""
-39;"px";-451.1444482143;"px";0;"%";0;"%";0;0;""
-38.5;"px";-429.6480054286;"px";0;"%";0;"%";0;0;""
-38;"px";-404.2431185;"px";0;"%";0;"%";0;0;""
-37.5;"px";-374.9297874286;"px";0;"%";0;"%";0;0;""
-37;"px";-341.7080122143;"px";0;"%";0;"%";0;0;""
-36.5;"px";-304.5777928571;"px";0;"%";0;"%";0;0;""
-36;"px";-263.5391293571;"px";0;"%";0;"%";0;0;""
-35.5;"px";-218.5920217143;"px";0;"%";0;"%";0;0;""
-35;"px";-169.7364699286;"px";0;"%";0;"%";0;0;""
-34.5;"px";-116.972474;"px";0;"%";0;"%";0;0;""
-34;"px";-60.3000339286;"px";0;"%";0;"%";0;0;""
-33.5;"px";0.2808502857;"px";0;"%";0;"%";0;0;""
-33;"px";0;"px";0;"%";0;"%";0;0;""
-32.5;"px";-13.5391293571;"px";0;"%";0;"%";0;0;""
-32;"px";-54.5777928571;"px";0;"%";0;"%";0;0;""
-31.5;"px";-91.7080122143;"px";0;"%";0;"%";0;0;""
-31;"px";-124.9297874286;"px";0;"%";0;"%";0;0;""
-30.5;"px";-154.2431185;"px";0;"%";0;"%";0;0;""
-30;"px";-179.6480054286;"px";0;"%";0;"%";0;0;""
-29.5;"px";-201.1444482143;"px";0;"%";0;"%";0;0;""
-29;"px";-218.7324468571;"px";0;"%";0;"%";0;0;""
-28.5;"px";-232.4120013571;"px";0;"%";0;"%";0;0;""
-28;"px";-242.1831117143;"px";0;"%";0;"%";0;0;""
-27.5;"px";-248.0457779286;"px";0;"%";0;"%";0;0;""
-27;"px";-250;"px";0;"%";0;"%";0;0;""
-26.5;"px";-248.0457779286;"px";0;"%";0;"%";0;0;""
-26;"px";-242.1831117143;"px";0;"%";0;"%";0;0;""
-25.5;"px";-232.4120013571;"px";0;"%";0;"%";0;0;""
-25;"px";-218.7324468571;"px";0;"%";0;"%";0;0;""
-24.5;"px";-201.1444482143;"px";0;"%";0;"%";0;0;""
-24;"px";-179.6480054286;"px";0;"%";0;"%";0;0;""
-23.5;"px";-154.2431185;"px";0;"%";0;"%";0;0;""
-23;"px";-124.9297874286;"px";0;"%";0;"%";0;0;""
-22.5;"px";-91.7080122143;"px";0;"%";0;"%";0;0;""
-22;"px";-54.5777928571;"px";0;"%";0;"%";0;0;""
-21.5;"px";-13.5391293571;"px";0;"%";0;"%";0;0;""
-21;"px";0.0702125714;"px";0;"%";0;"%";0;0;""
-20.5;"px";-29.2431185;"px";0;"%";0;"%";0;0;""
-20;"px";-54.6480054286;"px";0;"%";0;"%";0;0;""
-19.5;"px";-76.1444482143;"px";0;"%";0;"%";0;0;""
-19;"px";-93.7324468571;"px";0;"%";0;"%";0;0;""
-18.5;"px";-107.4120013571;"px";0;"%";0;"%";0;0;""
-18;"px";-117.1831117143;"px";0;"%";0;"%";0;0;""
-17.5;"px";-123.0457779286;"px";0;"%";0;"%";0;0;""
-17;"px";-125;"px";0;"%";0;"%";0;0;""
-16.5;"px";-123.0457779286;"px";0;"%";0;"%";0;0;""
-16;"px";-117.1831117143;"px";0;"%";0;"%";0;0;""
-15.5;"px";-107.4120013571;"px";0;"%";0;"%";0;0;""
-15;"px";-93.7324468571;"px";0;"%";0;"%";0;0;""
-14.5;"px";-76.1444482143;"px";0;"%";0;"%";0;0;""
-14;"px";-54.6480054286;"px";0;"%";0;"%";0;0;""
-13.5;"px";-29.2431185;"px";0;"%";0;"%";0;0;""
-13;"px";0;"px";0;"%";0;"%";0;0;""
-12.5;"px";-13.6444482143;"px";0;"%";0;"%";0;0;""
-12;"px";-31.2324468571;"px";0;"%";0;"%";0;0;""
-11.5;"px";-44.9120013571;"px";0;"%";0;"%";0;0;""
-11;"px";-54.6831117143;"px";0;"%";0;"%";0;0;""
-10.5;"px";-60.5457779286;"px";0;"%";0;"%";0;0;""
-10;"px";-62.5;"px";0;"%";0;"%";0;0;""
-9.5;"px";-60.5457779286;"px";0;"%";0;"%";0;0;""
-9;"px";-54.6831117143;"px";0;"%";0;"%";0;0;""
-8.5;"px";-44.9120013571;"px";0;"%";0;"%";0;0;""
-8;"px";-31.2324468571;"px";0;"%";0;"%";0;0;""
-7.5;"px";-13.6444482143;"px";0;"%";0;"%";0;0;""
-7;"px";0.0175531429;"px";0;"%";0;"%";0;0;""
-6.5;"px";-13.6620013571;"px";0;"%";0;"%";0;0;""
-6;"px";-23.4331117143;"px";0;"%";0;"%";0;0;""
-5.5;"px";-29.2957779286;"px";0;"%";0;"%";0;0;""
-5;"px";-31.25;"px";0;"%";0;"%";0;0;""
-4.5;"px";-29.2957779286;"px";0;"%";0;"%";0;0;""
-4;"px";-23.4331117143;"px";0;"%";0;"%";0;0;""
-3.5;"px";-13.6620013571;"px";0;"%";0;"%";0;0;""
-3;"px";0;"px";0;"%";0;"%";0;0;""
-2.5;"px";-7.8081117143;"px";0;"%";0;"%";0;0;""
